Name;Station;Time(norwegian mean time);Air temperature;Relative air humidity
E6 Frya;SN13390;30.03.2018 01:00;-11.5;63
E6 Frya;SN13390;30.03.2018 01:10;-11.7;66
E6 Frya;SN13390;30.03.2018 01:20;-11.9;64
E6 Frya;SN13390;30.03.2018 01:30;-11.8;64
E6 Frya;SN13390;30.03.2018 01:40;-12.2;70
E6 Frya;SN13390;30.03.2018 01:50;-12.7;68
E6 Frya;SN13390;30.03.2018 02:00;-12.2;64
E6 Frya;SN13390;30.03.2018 02:10;-12.5;64
E6 Frya;SN13390;30.03.2018 02:20;-12.5;63
E6 Frya;SN13390;30.03.2018 02:30;-13;64
E6 Frya;SN13390;30.03.2018 02:40;-13.6;66
E6 Frya;SN13390;30.03.2018 02:50;-13.8;73
E6 Frya;SN13390;30.03.2018 03:00;-13.5;74
E6 Frya;SN13390;30.03.2018 03:10;-14.5;68
E6 Frya;SN13390;30.03.2018 03:20;-14.5;74
E6 Frya;SN13390;30.03.2018 03:30;-14.5;75
E6 Frya;SN13390;30.03.2018 03:40;-14.5;74
E6 Frya;SN13390;30.03.2018 03:50;-14.6;75
E6 Frya;SN13390;30.03.2018 04:00;-14.8;75
E6 Frya;SN13390;30.03.2018 04:10;-14.2;73
E6 Frya;SN13390;30.03.2018 04:20;-14.8;71
E6 Frya;SN13390;30.03.2018 04:30;-14.8;74
E6 Frya;SN13390;30.03.2018 04:40;-14.4;70
E6 Frya;SN13390;30.03.2018 04:50;-14.7;69
E6 Frya;SN13390;30.03.2018 05:00;-14.6;67
E6 Frya;SN13390;30.03.2018 05:10;-14.5;66
E6 Frya;SN13390;30.03.2018 05:20;-14.1;64
E6 Frya;SN13390;30.03.2018 05:30;-14.2;65
E6 Frya;SN13390;30.03.2018 05:40;-14.7;67
E6 Frya;SN13390;30.03.2018 05:50;-14.3;65
E6 Frya;SN13390;30.03.2018 06:00;-16;67
E6 Frya;SN13390;30.03.2018 06:10;-16.2;74
E6 Frya;SN13390;30.03.2018 06:20;-16.3;75
E6 Frya;SN13390;30.03.2018 06:30;-15.8;75
E6 Frya;SN13390;30.03.2018 06:40;-15.8;74
E6 Frya;SN13390;30.03.2018 06:50;-15.2;71
E6 Frya;SN13390;30.03.2018 07:00;-15.1;69
E6 Frya;SN13390;30.03.2018 07:10;-14.6;65
E6 Frya;SN13390;30.03.2018 07:20;-14.4;63
E6 Frya;SN13390;30.03.2018 07:30;-14.2;63
E6 Frya;SN13390;30.03.2018 07:40;-13.5;62
E6 Frya;SN13390;30.03.2018 07:50;-13.3;61
E6 Frya;SN13390;30.03.2018 08:00;-12.9;63
E6 Frya;SN13390;30.03.2018 08:10;-12.8;60
E6 Frya;SN13390;30.03.2018 08:20;-12.6;60
E6 Frya;SN13390;30.03.2018 08:30;-12.4;60
E6 Frya;SN13390;30.03.2018 08:40;-12;58
E6 Frya;SN13390;30.03.2018 08:50;-11.5;57
E6 Frya;SN13390;30.03.2018 09:00;-11.5;56
E6 Frya;SN13390;30.03.2018 09:10;-11.1;57
E6 Frya;SN13390;30.03.2018 09:20;-11;55
E6 Frya;SN13390;30.03.2018 09:30;-10.6;54
E6 Frya;SN13390;30.03.2018 09:40;-10.3;54
E6 Frya;SN13390;30.03.2018 09:50;-10.2;54
E6 Frya;SN13390;30.03.2018 10:00;-10;53
E6 Frya;SN13390;30.03.2018 10:10;-9.6;53
E6 Frya;SN13390;30.03.2018 10:20;-9.1;52
E6 Frya;SN13390;30.03.2018 10:30;-8.9;51
E6 Frya;SN13390;30.03.2018 10:40;-8.5;50
E6 Frya;SN13390;30.03.2018 10:50;-8.4;49
E6 Frya;SN13390;30.03.2018 11:00;-7.9;50
E6 Frya;SN13390;30.03.2018 11:10;-6.9;48
E6 Frya;SN13390;30.03.2018 11:20;-7.4;49
E6 Frya;SN13390;30.03.2018 11:30;-6.9;48
E6 Frya;SN13390;30.03.2018 11:40;-6.2;48
E6 Frya;SN13390;30.03.2018 11:50;-5.9;47
E6 Frya;SN13390;30.03.2018 12:00;-5.6;43
E6 Frya;SN13390;30.03.2018 12:10;-5.3;43
E6 Frya;SN13390;30.03.2018 12:20;-5.1;44
E6 Frya;SN13390;30.03.2018 12:30;-4.5;41
E6 Frya;SN13390;30.03.2018 12:40;-3.7;43
E6 Frya;SN13390;30.03.2018 12:50;-3.8;44
E6 Frya;SN13390;30.03.2018 13:00;-3.2;41
E6 Frya;SN13390;30.03.2018 13:10;-3.2;41
E6 Frya;SN13390;30.03.2018 13:20;-3.1;41
E6 Frya;SN13390;30.03.2018 13:30;-3.1;39
E6 Frya;SN13390;30.03.2018 13:40;-2.8;39
E6 Frya;SN13390;30.03.2018 13:50;-2.3;40
E6 Frya;SN13390;30.03.2018 14:00;-1.6;37
E6 Frya;SN13390;30.03.2018 14:10;-1.6;38
E6 Frya;SN13390;30.03.2018 14:20;-1.4;38
E6 Frya;SN13390;30.03.2018 14:30;-1.1;36
E6 Frya;SN13390;30.03.2018 14:40;-1.2;35
E6 Frya;SN13390;30.03.2018 14:50;-0.5;36
E6 Frya;SN13390;30.03.2018 15:00;0.5;32
E6 Frya;SN13390;30.03.2018 15:10;-0.2;33
E6 Frya;SN13390;30.03.2018 15:20;0.1;36
E6 Frya;SN13390;30.03.2018 15:30;0.5;32
E6 Frya;SN13390;30.03.2018 15:40;0.7;31
E6 Frya;SN13390;30.03.2018 15:50;0;36
E6 Frya;SN13390;30.03.2018 16:00;-0.5;39
E6 Frya;SN13390;30.03.2018 16:10;0.1;38
E6 Frya;SN13390;30.03.2018 16:20;-0.8;39
E6 Frya;SN13390;30.03.2018 16:30;-0.2;36
E6 Frya;SN13390;30.03.2018 16:40;-0.9;48
E6 Frya;SN13390;30.03.2018 16:50;-1.1;47
E6 Frya;SN13390;30.03.2018 17:00;-0.7;44
E6 Frya;SN13390;30.03.2018 17:10;1.5;36
E6 Frya;SN13390;30.03.2018 17:20;-0.8;44
E6 Frya;SN13390;30.03.2018 17:30;-1.5;43
E6 Frya;SN13390;30.03.2018 17:40;-0.4;38
E6 Frya;SN13390;30.03.2018 17:50;-1.4;42
E6 Frya;SN13390;30.03.2018 18:00;-2.5;47
E6 Frya;SN13390;30.03.2018 18:10;-2.4;48
E6 Frya;SN13390;30.03.2018 18:20;-2.2;52
E6 Frya;SN13390;30.03.2018 18:30;-4;57
E6 Frya;SN13390;30.03.2018 18:40;-4.7;61
E6 Frya;SN13390;30.03.2018 18:50;-4.5;60
E6 Frya;SN13390;30.03.2018 19:00;-4.4;58
E6 Frya;SN13390;30.03.2018 19:10;-5.5;62
E6 Frya;SN13390;30.03.2018 19:20;-5.6;66
