Name;Station;Time(norwegian mean time);Air temperature;Relative air humidity
E6 Frya;SN13390;15.09.2014 09:10;9.6;80
E6 Frya;SN13390;15.09.2014 09:20;9.3;79
E6 Frya;SN13390;15.09.2014 09:40;10.1;77
E6 Frya;SN13390;15.09.2014 09:50;10.8;75
E6 Frya;SN13390;15.09.2014 10:00;10.7;76
E6 Frya;SN13390;15.09.2014 10:20;11;75
E6 Frya;SN13390;15.09.2014 10:30;11.3;73
E6 Frya;SN13390;15.09.2014 10:40;11.7;70
E6 Frya;SN13390;15.09.2014 11:00;12.1;68
E6 Frya;SN13390;15.09.2014 11:10;12.7;68
E6 Frya;SN13390;15.09.2014 11:30;12.8;67
E6 Frya;SN13390;15.09.2014 11:40;13.2;67
E6 Frya;SN13390;15.09.2014 12:00;13.7;70
E6 Frya;SN13390;15.09.2014 12:10;14.1;66
E6 Frya;SN13390;15.09.2014 12:30;13.8;66
E6 Frya;SN13390;15.09.2014 12:50;15.1;64
E6 Frya;SN13390;15.09.2014 13:00;15.7;62
E6 Frya;SN13390;15.09.2014 13:20;15.9;65
E6 Frya;SN13390;15.09.2014 13:30;16.7;61
E6 Frya;SN13390;15.09.2014 13:50;17.8;59
E6 Frya;SN13390;15.09.2014 14:10;18.2;56
E6 Frya;SN13390;15.09.2014 14:20;18.6;54
E6 Frya;SN13390;15.09.2014 14:30;18.9;54
E6 Frya;SN13390;15.09.2014 14:50;18.1;55
E6 Frya;SN13390;15.09.2014 15:00;18.6;53
E6 Frya;SN13390;15.09.2014 15:20;18.9;51
E6 Frya;SN13390;15.09.2014 15:30;18.7;50
E6 Frya;SN13390;15.09.2014 15:50;18.4;51
E6 Frya;SN13390;15.09.2014 16:00;18.1;51
E6 Frya;SN13390;15.09.2014 16:20;18.1;51
E6 Frya;SN13390;15.09.2014 16:30;18;51
E6 Frya;SN13390;15.09.2014 16:50;17.7;54
E6 Frya;SN13390;15.09.2014 17:00;17.4;55
E6 Frya;SN13390;15.09.2014 17:20;17.2;58
E6 Frya;SN13390;15.09.2014 17:30;16.8;58
E6 Frya;SN13390;15.09.2014 17:50;16.4;60
E6 Frya;SN13390;15.09.2014 18:00;16;63
E6 Frya;SN13390;15.09.2014 18:20;15.7;64
E6 Frya;SN13390;15.09.2014 18:30;15.5;64
E6 Frya;SN13390;15.09.2014 18:40;14.2;70
E6 Frya;SN13390;15.09.2014 19:00;13.3;74
E6 Frya;SN13390;15.09.2014 19:10;12.7;78
E6 Frya;SN13390;15.09.2014 19:20;11.9;80
E6 Frya;SN13390;15.09.2014 19:40;11.1;82
E6 Frya;SN13390;15.09.2014 20:00;10.4;85
E6 Frya;SN13390;15.09.2014 20:10;10.1;83
E6 Frya;SN13390;15.09.2014 20:30;9.7;84
E6 Frya;SN13390;15.09.2014 20:40;9.2;87
E6 Frya;SN13390;15.09.2014 21:00;8.9;87
E6 Frya;SN13390;15.09.2014 21:10;8.9;88
E6 Frya;SN13390;15.09.2014 21:30;8.8;87
E6 Frya;SN13390;15.09.2014 21:40;8.3;88
E6 Frya;SN13390;15.09.2014 21:50;8.2;89
E6 Frya;SN13390;15.09.2014 22:10;7.8;89
E6 Frya;SN13390;15.09.2014 22:20;7.8;90
E6 Frya;SN13390;15.09.2014 22:30;7.4;90
E6 Frya;SN13390;15.09.2014 22:50;7.4;91
E6 Frya;SN13390;15.09.2014 23:00;6.9;91
E6 Frya;SN13390;15.09.2014 23:20;6.9;92
E6 Frya;SN13390;15.09.2014 23:30;6.5;92
E6 Frya;SN13390;15.09.2014 23:50;6.3;92
E6 Frya;SN13390;16.09.2014 00:00;6.2;93
E6 Frya;SN13390;16.09.2014 00:20;6.1;93
E6 Frya;SN13390;16.09.2014 00:40;5.8;94
E6 Frya;SN13390;16.09.2014 00:50;5.4;93
