Name;Station;Time(norwegian mean time);Air temperature;Relative air humidity
E6 Frya;SN13390;30.03.2015 01:10;0.3;76
E6 Frya;SN13390;30.03.2015 01:20;0.1;77
E6 Frya;SN13390;30.03.2015 01:40;0.3;76
E6 Frya;SN13390;30.03.2015 02:00;0.2;76
E6 Frya;SN13390;30.03.2015 02:20;-0.2;77
E6 Frya;SN13390;30.03.2015 02:30;-0.2;76
E6 Frya;SN13390;30.03.2015 02:40;-0.3;76
E6 Frya;SN13390;30.03.2015 03:00;-0.5;76
E6 Frya;SN13390;30.03.2015 03:10;-0.6;76
E6 Frya;SN13390;30.03.2015 03:20;-0.5;76
E6 Frya;SN13390;30.03.2015 03:30;-0.7;76
E6 Frya;SN13390;30.03.2015 03:50;-0.9;76
E6 Frya;SN13390;30.03.2015 04:10;-0.9;76
E6 Frya;SN13390;30.03.2015 04:20;-1;75
E6 Frya;SN13390;30.03.2015 04:30;-0.8;75
E6 Frya;SN13390;30.03.2015 04:50;-0.8;77
E6 Frya;SN13390;30.03.2015 05:10;-1.2;82
E6 Frya;SN13390;30.03.2015 05:30;-1.3;85
E6 Frya;SN13390;30.03.2015 05:40;-1.5;85
E6 Frya;SN13390;30.03.2015 05:50;-1.6;86
E6 Frya;SN13390;30.03.2015 06:20;-1.8;90
E6 Frya;SN13390;30.03.2015 06:30;-1.7;90
E6 Frya;SN13390;30.03.2015 08:10;-1.3;91
E6 Frya;SN13390;30.03.2015 08:30;-1.1;91
E6 Frya;SN13390;30.03.2015 08:50;-0.7;91
E6 Frya;SN13390;30.03.2015 09:00;-0.6;89
E6 Frya;SN13390;30.03.2015 09:20;-0.5;89
E6 Frya;SN13390;30.03.2015 09:30;-0.4;89
E6 Frya;SN13390;30.03.2015 09:40;-0.2;88
E6 Frya;SN13390;30.03.2015 10:00;0.2;87
E6 Frya;SN13390;30.03.2015 10:20;0.7;86
E6 Frya;SN13390;30.03.2015 10:30;1.7;84
E6 Frya;SN13390;30.03.2015 10:40;1.5;82
E6 Frya;SN13390;30.03.2015 11:00;1.6;81
E6 Frya;SN13390;30.03.2015 11:10;2.2;83
E6 Frya;SN13390;30.03.2015 11:20;1.7;82
E6 Frya;SN13390;30.03.2015 11:30;2.1;82
E6 Frya;SN13390;30.03.2015 12:00;2.8;80
E6 Frya;SN13390;30.03.2015 12:10;2.7;77
E6 Frya;SN13390;30.03.2015 12:30;2.9;76
E6 Frya;SN13390;30.03.2015 12:40;3.1;75
E6 Frya;SN13390;30.03.2015 13:00;3.2;76
E6 Frya;SN13390;30.03.2015 13:10;2.8;80
E6 Frya;SN13390;30.03.2015 13:30;3.1;79
E6 Frya;SN13390;30.03.2015 13:50;4.2;77
E6 Frya;SN13390;30.03.2015 14:10;3.8;75
E6 Frya;SN13390;30.03.2015 14:30;3.5;73
E6 Frya;SN13390;30.03.2015 14:40;3.9;75
E6 Frya;SN13390;30.03.2015 15:00;4;75
E6 Frya;SN13390;30.03.2015 15:20;4.2;72
E6 Frya;SN13390;30.03.2015 15:40;5.4;70
E6 Frya;SN13390;30.03.2015 16:00;5.3;64
E6 Frya;SN13390;30.03.2015 16:20;5;65
E6 Frya;SN13390;30.03.2015 16:40;4.2;70
E6 Frya;SN13390;30.03.2015 17:00;3.8;73
E6 Frya;SN13390;30.03.2015 17:10;4.6;69
E6 Frya;SN13390;30.03.2015 17:20;5;67
E6 Frya;SN13390;30.03.2015 17:30;5.3;63
E6 Frya;SN13390;30.03.2015 17:50;3.9;72
E6 Frya;SN13390;30.03.2015 18:00;3.7;76
E6 Frya;SN13390;30.03.2015 18:20;3.3;77
E6 Frya;SN13390;30.03.2015 18:40;1.9;79
