,loss,reconstruction_loss,kl_loss
0,45969.58984375,45784.00390625,185.57107543945312
1,20880.4296875,20719.248046875,161.1737518310547
2,17944.521484375,17803.673828125,140.8551788330078
3,16489.59765625,16358.857421875,130.74420166015625
4,15288.91015625,15161.1474609375,127.76026153564453
5,11852.6875,11711.8232421875,140.8701934814453
6,10502.8486328125,10374.95703125,127.89124298095703
7,10077.2529296875,9956.48828125,120.75829315185547
8,9818.0859375,9701.6259765625,116.45703125
9,9602.689453125,9489.5654296875,113.12705993652344
10,9429.0576171875,9317.736328125,111.31869506835938
11,9343.9287109375,9235.0634765625,108.86324310302734
12,9219.9404296875,9113.19140625,106.7477798461914
13,9125.4599609375,9020.7548828125,104.70481872558594
14,9022.6943359375,8919.7392578125,102.9582290649414
15,8928.833984375,8827.7158203125,101.1190185546875
16,8895.794921875,8796.5400390625,99.25843048095703
17,8833.5751953125,8735.107421875,98.4712905883789
18,8787.26953125,8690.15625,97.11653137207031
19,8699.90625,8603.861328125,96.04057312011719
20,8684.4296875,8589.46484375,94.96414947509766
21,8589.185546875,8494.751953125,94.4356689453125
22,8541.51953125,8447.8583984375,93.662109375
23,8548.564453125,8455.84375,92.71919250488281
24,8456.6962890625,8364.8642578125,91.83177947998047
25,8464.169921875,8373.388671875,90.78211212158203
26,8410.0634765625,8319.8642578125,90.19747924804688
27,8371.9755859375,8281.919921875,90.0544662475586
28,8366.48828125,8277.345703125,89.14244079589844
29,8356.44140625,8268.4326171875,88.00972747802734
30,8297.701171875,8209.046875,88.65467834472656
31,8252.9443359375,8165.25341796875,87.693115234375
32,8214.5546875,8126.6875,87.86614227294922
33,8195.224609375,8108.19091796875,87.03280639648438
34,8145.0693359375,8058.6494140625,86.42037963867188
35,8151.2861328125,8064.4013671875,86.88623809814453
36,8126.544921875,8040.0908203125,86.45487213134766
37,8094.90673828125,8008.27001953125,86.63764190673828
38,8038.5078125,7952.35302734375,86.15675354003906
39,8038.875,7952.5615234375,86.31127166748047
40,8027.0166015625,7941.857421875,85.16258239746094
41,7971.07666015625,7885.97021484375,85.10350799560547
42,7928.63818359375,7843.77197265625,84.86583709716797
43,7951.25341796875,7866.4443359375,84.80938720703125
44,7910.43115234375,7825.20751953125,85.22174835205078
45,7880.89501953125,7796.72705078125,84.16873931884766
46,7882.6591796875,7798.1982421875,84.46089935302734
47,7868.56591796875,7784.001953125,84.56399536132812
48,7837.25439453125,7752.90234375,84.34998321533203
49,7813.099609375,7729.5546875,83.54631042480469
